YEAR,NOMINAL_MAX,NOMINAL_MIN,REAL_MAX,REAL_MIN,NOMINAL_MAXLESSMIN,REAL_MAXLESSMIN
1859,20,20,532.0470171,532.0470171,0,0
1860,20,3.75,532.0470171,99.7588157,16.25,432.2882014
1861,2.75,0.1,73.15646485,2.660235085,2.65,70.49622976
1862,2,0.1,47.88423154,2.394211577,1.9,45.49001996
1863,3.85,2.25,74.73822625,43.67818417,1.6,31.06004208
1864,12.5,3.95,191.0275194,60.36469614,8.55,130.6628233
1865,11,4.62,171.7586566,72.13863577,6.38,99.62002083
1866,6.5,3,106.107104,48.97250953,3.5,57.13459445
1867,3.55,1.75,60.71036498,29.92764471,1.8,30.78272027
1868,5.07,1.87,91.03989521,33.57881737,3.2,57.46107784
1869,6.55,4.25,117.6156437,76.31549401,2.3,41.3001497
1870,5.12,3.17,96.77655216,59.91829499,1.95,36.85825717
1871,4.8,3.4,95.76846307,67.83599468,1.4,27.9324684
1872,4.35,3.15,86.79016966,62.84805389,1.2,23.94211577
1873,3.29,1.07,65.64130073,21.34838656,2.22,44.29291417
1874,1.96,0.72,41.40577668,15.21028531,1.24,26.19549137
1875,1.63,0.86,35.47786246,18.71838142,0.77,16.75948104
1876,3.8,1.39,85.29378743,31.19956961,2.41,54.09421781
1877,3.78,1.91,84.84487275,42.87135105,1.87,41.97352171
1878,1.8,0.82,44.58187074,20.30951889,0.98,24.27235185
1879,1.05,0.67,26.93488024,17.18701882,0.38,9.74786142
1880,1.18,0.77,29.22589304,19.07113359,0.41,10.15475945
1881,0.95,0.76,23.52932067,18.82345654,0.19,4.705864134
1882,1.14,0.54,28.2351848,13.37456122,0.6,14.86062358
1883,1.17,0.92,30.01315227,23.60008554,0.25,6.413066724
1884,1.14,0.63,30.32667997,16.75948104,0.51,13.56719894
1885,1.05,0.7,27.9324684,18.6216456,0.35,9.310822799
1886,0.89,0.62,23.67609226,16.49345753,0.27,7.182634731
1887,0.73,0.59,19.41971612,15.695387,0.14,3.72432912
1888,0.93,0.75,24.74018629,19.95176314,0.18,4.788423154
1889,1.08,0.83,28.73053892,22.07995121,0.25,6.650587713
1890,1.05,0.72,27.9324684,19.15369261,0.33,8.778775782
1891,0.77,0.58,20.48381016,15.4293635,0.19,5.054446662
1892,0.62,0.51,16.49345753,13.56719894,0.11,2.926258594
1893,0.73,0.53,19.41971612,14.09924595,0.2,5.320470171
1894,0.88,0.78,24.31045601,21.54790419,0.1,2.762551819
1895,1.77,0.91,50.85305389,26.14479042,0.86,24.70826347
1896,1.45,1.05,41.65928144,30.16706587,0.4,11.49221557
1897,0.97,0.65,27.86862275,18.6748503,0.32,9.193772455
1898,1.16,0.65,33.32742515,18.6748503,0.51,14.65257485
1899,1.57,1.13,45.10694611,32.46550898,0.44,12.64143713
1900,1.342295859,0.82458991,38.56488341,23.69091251,0.517705949,14.87397091
1901,0.872460332,0.706126259,25.06625554,20.28738797,0.166334073,4.778867562
1902,0.793129112,0.598313638,21.91060271,16.52872428,0.194815474,5.381878432
1903,1.063283084,0.713435496,28.28582965,18.97906137,0.349847588,9.306768284
1904,0.965346583,0.72612931,25.68048851,19.31674667,0.239217273,6.363741836
1905,0.615902757,0.549560226,16.38446122,14.61959395,0.06634253,1.76486727
1906,0.602944369,0.534239542,16.03973765,14.21202774,0.068704827,1.827709902
1907,0.534326982,0.504181197,13.70669834,12.93339062,0.030145785,0.773307724
1908,0.497291921,0.477129034,13.22913416,12.69275396,0.020162887,0.536380203
1909,0.456108331,0.378792252,12.13355386,10.07676439,0.077316079,2.05678947
1910,0.367762291,0.337905977,9.433936453,8.668054304,0.029856315,0.765882149
1911,0.384189207,0.354440184,9.855324071,9.092194188,0.029749023,0.763129883
1912,0.595501831,0.400349059,14.74921424,9.915727772,0.195152772,4.83348647
1913,1.03,0.83,24.72490962,20.33056764,0.2,4.39434197
1914,1.05,0.55,25.7193928,12.94374671,0.5,12.7756461
1915,1,0.4,23.30559866,9.506838264,0.6,13.79876039
1916,1.55,0.9,35.10130968,18.78633909,0.65,16.31497058
1917,2,1.4,36.09739341,28.72365236,0.6,7.373741047
1918,2.25,2,38.03572175,32.73377266,0.25,5.301949093
1919,2.5,2.25,33.33995363,29.19498643,0.25,4.144967209
1920,3.5,2.75,43.30756864,34.203683,0.75,9.103885635
1921,3.5,1,44.21930693,13.56201504,2.5,30.65729189
1922,2,1.25,28.74822349,17.86068945,0.75,10.88753405
1923,2,1,28.57710312,13.87558764,1,14.70151548
1924,2,1,28.2409019,13.87558764,1,14.36531426
1925,2.04,1.25,27.91251932,17.34448455,0.79,10.56803477
1926,2.29,1.79,31.5924802,24.00476662,0.5,7.587713586
1927,1.9,1.28,26.21210148,17.45801208,0.62,8.754089393
1928,1.36,1.28,19.09151029,17.76075218,0.08,1.330758113
1929,1.45,1.2,20.35491906,16.84545026,0.25,3.509468804
1930,1.45,0.95,20.47465388,13.90520017,0.5,6.569453705
1931,0.95,0.33,14.61828736,5.246074824,0.62,9.372212539
1932,0.92,0.77,16.85830938,12.92564356,0.15,3.932665817
1933,1,0.25,18.18542926,4.725347759,0.75,13.4600815
1934,1,1,18.18542926,17.65056369,0,0.534865566
1935,1,1,17.65056369,17.39475842,0,0.255805271
1936,1.1,1,19.2739002,17.39475842,0.1,1.879141785
1937,1.22,1.1,20.77008175,18.72712289,0.12,2.042958861
1938,1.22,1.02,20.91843948,17.48918711,0.2,3.429252374
1939,1.02,1.02,17.74265359,17.36515032,0,0.377503268
1940,1.02,1.02,17.6150086,17.36515032,0,0.249858278
1941,1.17,1.02,19.10583465,17.24286053,0.15,1.862974127
1942,1.17,1.17,17.88890251,16.61868458,0,1.27021793
1943,1.17,1.17,16.61868458,16.04890111,0,0.569783471
1944,1.17,1.17,16.14113617,15.77841401,0,0.362722161
1945,1.17,1.17,15.77841401,15.43163568,0,0.34677833
1946,1.62,1.17,18.08731252,15.3473098,0.45,2.740002716
1947,2.07,1.62,21.51076489,17.75695065,0.45,3.753814242
1948,2.57,2.57,26.36420949,25.18051029,0,1.183699202
1949,2.57,2.57,26.14078399,25.70510425,0,0.435679733
1950,2.57,2.57,26.25202136,24.67690008,0,1.575121282
1951,2.57,2.57,24.28828748,23.28009442,0,1.008193065
1952,2.57,2.57,23.45712936,23.10571169,0,0.351417668
1953,2.82,2.57,25.25874696,23.01949635,0.25,2.239250617
1954,2.82,2.82,25.35334901,25.16484827,0,0.188500736
1955,2.82,2.82,25.35334901,25.16484827,0,0.188500736
1956,2.82,2.82,25.25874696,24.52660937,0,0.732137593
1957,3.07,2.82,26.60456084,24.52660937,0.25,2.077951466
1958,3.07,3,25.76735438,24.83251719,0.07,0.934837186
1959,3,2.97,24.91844285,24.24971321,0.03,0.66872964
1960,2.97,2.97,24.33247674,23.92421371,0,0.408263033
1961,2.97,2.97,23.92421371,23.76471895,0,0.159494758
1962,2.97,2.97,23.76471895,23.45202528,0,0.31269367
1963,2.97,2.97,23.45202528,23.07254267,0,0.37948261
1964,2.97,2.92,23.07254267,22.46599953,0.05,0.606543145
1965,2.92,2.92,22.46599953,22.04211274,0,0.423886784
1966,2.97,2.92,22.04211274,21.43544909,0.05,0.606663653
1967,3.07,2.97,21.99839806,21.56116762,0.1,0.437230444
