DATE,NOMINAL,REAL,MONTH,YEAR,COMBINED_DATE,STAGE,EVENT_TITLE,VOLATILITY,VOLATILITY_TITLE,URL_IMAGE,EVENT_TEXT,EVENT_TEXT2,EVENT_DATE_2,EVENT_LAT,EVENT_LONG
1859,,,January,1859,January-1859,Boom Bust I,Boom Bust I,53.30,53.30,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
February,,,February,1859,February-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
March,,,March,1859,March-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
April,,,April,1859,April-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
May,,,May,1859,May-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
June,,,June,1859,June-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
July,,,July,1859,July-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
August,,,August,1859,August-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
September,20,532.0470171,September,1859,September-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
October,20,532.0470171,October,1859,October-1859,Boom Bust I,,53.30,,http://fuelfix.com/wp-content/blogs.dir/731/files/a-second-life-for-spindletop/hi_j0188_small.jpg,This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. This is a test of event text. , , ,,
